# Code generated by scripts/capture-ev-action.sh --prosqlbody; DO NOT EDIT.
# Oracle: PostgreSQL 18.3, catalog version 202506291.
# Captured from a throwaway 'initdb --no-sync' cluster (M0133-S2).
#
# proc <name> <oid> <pronamespace> <procost> <prorows> <prosupport> <prokind> <provolatile> <proparallel> <proisstrict> <proretset> <prolang> <prorettype> <proargtypes> <proallargtypes> <proargmodes> <proargnames> <prosrc> <prosqlbody>
# <proargtypes> is space-separated oidvector text; <proallargtypes>/<proargmodes>/<proargnames> are PG array ::text or '-' for NULL; <prosqlbody> is '-' (NULL) or the blob's text length.
proc	_pg_expandarray	13274	13273	100	100	3996	f	i	s	t	t	14	2249	2277	{2277,2283,23}	{i,o,o}	{"",x,n}	SELECT * FROM pg_catalog.unnest($1) WITH ORDINALITY	-
proc	_pg_index_position	13275	13273	100	0	0	f	s	u	t	f	14	23	26 21	-	-	-		4150
proc	_pg_truetypid	13276	13273	100	0	0	f	i	s	t	f	14	26	75 71	-	-	-		1814
proc	_pg_truetypmod	13277	13273	100	0	0	f	i	s	t	f	14	23	75 71	-	-	-		1814
proc	_pg_char_max_length	13278	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		3850
proc	_pg_char_octet_length	13279	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		6373
proc	_pg_numeric_precision	13281	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		6148
proc	_pg_numeric_precision_radix	13282	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		3535
proc	_pg_numeric_scale	13283	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		4112
proc	_pg_datetime_precision	13284	13273	100	0	0	f	i	s	t	f	14	23	26 23	-	-	{typid,typmod}		5963
proc	_pg_interval_type	13285	13273	100	0	0	f	i	s	t	f	14	25	26 23	-	-	{typid,mod}		2621
