 prev_year | year | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff 
-----------+------+------------+------------+---------------+---------------+-------------+-------------+----------------+----------------
      2001 | 2002 |    8012002 |         12 |             8 |           122 |        5800 |        2360 |          -3440 |      -89234.04
      2001 | 2002 |    8015004 |         15 |             8 |           119 |        4455 |        2457 |          -1998 |      -77520.85
      2001 | 2002 |    8003010 |          3 |             8 |           606 |        3436 |        1991 |          -1445 |      -66010.47
      2001 | 2002 |    8001002 |          1 |             8 |           612 |        3699 |        2297 |          -1402 |      -78595.53
      2001 | 2002 |    8007007 |         11 |             8 |           290 |        3671 |        2312 |          -1359 |      -68516.21
      2001 | 2002 |    8013002 |         13 |             8 |           521 |        3065 |        1714 |          -1351 |      -92060.13
      2001 | 2002 |    8016007 |         16 |             8 |           231 |        3513 |        2210 |          -1303 |      -59178.87
      2001 | 2002 |    8002004 |          2 |             8 |           764 |        2787 |        1575 |          -1212 |      -35355.29
      2001 | 2002 |    8008002 |          8 |             8 |           859 |        3388 |        2226 |          -1162 |      -90885.07
      2001 | 2002 |    8009002 |          9 |             8 |           291 |        3026 |        1867 |          -1159 |     -103816.82
      2001 | 2002 |    8007010 |          7 |             8 |           253 |        3285 |        2130 |          -1155 |      -31440.30
      2001 | 2002 |    8014004 |         14 |             8 |           496 |        2847 |        1697 |          -1150 |      -49651.10
      2001 | 2002 |    8009008 |          9 |             8 |            77 |        3403 |        2262 |          -1141 |      -89567.45
      2001 | 2002 |    8010006 |         13 |             8 |           596 |        3664 |        2538 |          -1126 |      -86269.41
      2001 | 2002 |    8016004 |         16 |             8 |           575 |        3555 |        2432 |          -1123 |      -40476.08
      2001 | 2002 |    8008008 |          8 |             8 |           246 |        3350 |        2230 |          -1120 |      -81461.27
      2001 | 2002 |    8014002 |         14 |             8 |           487 |        3280 |        2174 |          -1106 |      -44811.70
      2001 | 2002 |    8003010 |          3 |             8 |           277 |        2747 |        1642 |          -1105 |      -50108.58
      2001 | 2002 |    8001010 |          1 |             8 |           453 |        3058 |        1988 |          -1070 |      -23301.50
      2001 | 2002 |    9011003 |         11 |             8 |           250 |        3210 |        2170 |          -1040 |      -50720.88
      2001 | 2002 |    8013004 |         13 |             8 |            27 |        3193 |        2174 |          -1019 |      -50852.41
      2001 | 2002 |    8010002 |         10 |             8 |           874 |        3254 |        2238 |          -1016 |      -64235.15
      2001 | 2002 |    2001001 |          1 |             8 |           175 |        3288 |        2292 |           -996 |      -21496.48
      2001 | 2002 |    8016010 |         16 |             8 |           636 |        3430 |        2451 |           -979 |      -57847.27
      2001 | 2002 |    8004006 |          4 |             8 |             7 |        3595 |        2619 |           -976 |       26222.73
      2001 | 2002 |    8009002 |          9 |             8 |           544 |        3830 |        2855 |           -975 |      -33967.08
      2001 | 2002 |    2001001 |          1 |             8 |           174 |        2611 |        1663 |           -948 |      -61792.08
      2001 | 2002 |    7002005 |          1 |             8 |            50 |        3070 |        2132 |           -938 |       -7227.05
      2001 | 2002 |    8009010 |          9 |             8 |           155 |        2836 |        1903 |           -933 |       -2330.19
      2001 | 2002 |    7003001 |          3 |             8 |           309 |        3384 |        2483 |           -901 |      -30330.15
      2001 | 2002 |    8003006 |          3 |             8 |           266 |        3126 |        2228 |           -898 |       16849.52
