 i_manager_id | sum_sales |  avg_monthly_sales   
--------------+-----------+----------------------
            1 |    245.03 | 601.8190000000000000
            1 |    408.59 | 601.8190000000000000
            1 |    439.42 | 601.8190000000000000
            1 |    519.64 | 601.8190000000000000
            1 |    673.08 | 601.8190000000000000
            1 |    753.90 | 601.8190000000000000
            1 |    797.55 | 601.8190000000000000
            1 |   1034.78 | 601.8190000000000000
            2 |    134.23 | 501.8500000000000000
            2 |    183.03 | 501.8500000000000000
            2 |    224.95 | 501.8500000000000000
            2 |    259.16 | 501.8500000000000000
            2 |    421.25 | 501.8500000000000000
            2 |    439.60 | 501.8500000000000000
            2 |    559.19 | 501.8500000000000000
            2 |    795.75 | 501.8500000000000000
            2 |    845.54 | 501.8500000000000000
            2 |   1155.80 | 501.8500000000000000
            3 |    298.45 | 636.1770000000000000
            3 |    323.25 | 636.1770000000000000
            3 |    328.95 | 636.1770000000000000
            3 |    551.98 | 636.1770000000000000
            3 |    781.00 | 636.1770000000000000
            3 |    849.88 | 636.1770000000000000
            3 |    927.66 | 636.1770000000000000
            3 |   1039.49 | 636.1770000000000000
            4 |    330.74 | 691.2970000000000000
            4 |    381.31 | 691.2970000000000000
            4 |    473.37 | 691.2970000000000000
            4 |    493.76 | 691.2970000000000000
            4 |    792.22 | 691.2970000000000000
            4 |    960.41 | 691.2970000000000000
            4 |   1043.04 | 691.2970000000000000
            4 |   1062.64 | 691.2970000000000000
            5 |    171.24 | 472.1570000000000000
            5 |    179.83 | 472.1570000000000000
            5 |    299.21 | 472.1570000000000000
            5 |    340.47 | 472.1570000000000000
            5 |    343.79 | 472.1570000000000000
            5 |    355.56 | 472.1570000000000000
            5 |    784.10 | 472.1570000000000000
            5 |    901.84 | 472.1570000000000000
            5 |    911.45 | 472.1570000000000000
            6 |    343.17 | 654.4740000000000000
            6 |    383.33 | 654.4740000000000000
            6 |    434.93 | 654.4740000000000000
            6 |    467.43 | 654.4740000000000000
            6 |    480.97 | 654.4740000000000000
            6 |    571.50 | 654.4740000000000000
            6 |    820.81 | 654.4740000000000000
            6 |    852.95 | 654.4740000000000000
            6 |    881.24 | 654.4740000000000000
            6 |   1308.41 | 654.4740000000000000
            7 |    177.39 | 533.6270000000000000
            7 |    213.32 | 533.6270000000000000
            7 |    228.15 | 533.6270000000000000
            7 |    235.66 | 533.6270000000000000
            7 |    375.51 | 533.6270000000000000
            7 |    677.20 | 533.6270000000000000
            7 |    851.03 | 533.6270000000000000
            7 |   1457.38 | 533.6270000000000000
            8 |     11.92 | 184.2930000000000000
            8 |     72.22 | 184.2930000000000000
            8 |     84.18 | 184.2930000000000000
            8 |     96.65 | 184.2930000000000000
            8 |    120.72 | 184.2930000000000000
            8 |    144.86 | 184.2930000000000000
            8 |    150.06 | 184.2930000000000000
            8 |    359.83 | 184.2930000000000000
            8 |    622.28 | 184.2930000000000000
            9 |    273.93 | 660.8610000000000000
            9 |    379.76 | 660.8610000000000000
            9 |    443.16 | 660.8610000000000000
            9 |    447.94 | 660.8610000000000000
            9 |    543.45 | 660.8610000000000000
            9 |    543.85 | 660.8610000000000000
            9 |    801.06 | 660.8610000000000000
            9 |    878.23 | 660.8610000000000000
            9 |    967.09 | 660.8610000000000000
            9 |   1330.14 | 660.8610000000000000
           10 |    117.54 | 385.5958333333333333
           10 |    163.27 | 385.5958333333333333
           10 |    197.51 | 385.5958333333333333
           10 |    242.36 | 385.5958333333333333
           10 |    255.86 | 385.5958333333333333
           10 |    312.71 | 385.5958333333333333
           10 |    468.12 | 385.5958333333333333
           10 |    568.08 | 385.5958333333333333
           10 |    574.17 | 385.5958333333333333
           10 |    952.94 | 385.5958333333333333
           11 |     92.95 | 221.1490000000000000
           11 |    135.62 | 221.1490000000000000
           11 |    164.34 | 221.1490000000000000
           11 |    167.78 | 221.1490000000000000
           11 |    174.71 | 221.1490000000000000
           11 |    263.83 | 221.1490000000000000
           11 |    351.81 | 221.1490000000000000
           11 |    385.11 | 221.1490000000000000
           12 |    256.17 | 612.6420000000000000
           12 |    274.68 | 612.6420000000000000
(100 rows)

