      ca_county      | d_year |   web_q1_q2_increase   |  store_q1_q2_increase  |   web_q2_q3_increase   |  store_q2_q3_increase  
---------------------+--------+------------------------+------------------------+------------------------+------------------------
 Meagher County      |   1999 |     5.0078934132429676 | 1.19013687879032775426 | 0.56196219672949848599 | 0.51455663304683849357
 Meigs County        |   1999 |     3.3920445929733811 |     2.1013501535803727 |     2.9902495552147409 | 0.52831201579221034193
 Chautauqua County   |   1999 |     2.4520489112646131 |     1.2685194464806033 | 0.95905901209953282902 | 0.91213904515113845343
 Trinity County      |   1999 |     1.7435282260856781 | 0.89776226407572578213 |     1.4709397959632597 | 0.94618486038989225264
 Westmoreland County |   1999 |     1.7140910790234807 | 0.82437758438596864911 |     2.0094991983048048 | 1.00017217453696367803
 Somerset County     |   1999 | 0.75432963566835846494 | 0.64438175778431150366 |     2.3413821053421231 |     1.3931579504716250
 Dawson County       |   1999 |     1.7084248421615993 | 0.56559090175206167931 |     1.7301862647865744 |     1.3998136799049568
 Big Horn County     |   1999 |     3.3298972451203723 | 0.99802773617096505068 |     2.6655091738152539 |     1.7040631663083904
 Hancock County      |   1999 |     1.6703448311954057 | 0.82705062742177311167 |     8.6695684288070256 |     1.7999424335806300
 Lincoln County      |   1999 |     1.2232712461891207 | 0.79629201479600023540 |     2.0423829830556544 |     1.8861964742701784
 Bay County          |   1999 | 0.99805957559030085836 | 0.33521220721879230730 |     5.4673330114873672 |     1.9149119715224321
 Carroll County      |   1999 | 0.97101952699263069457 | 0.90027862748771059248 |     2.0009184133141536 |     1.9682922818463982
 Moore County        |   1999 |     1.0903305778922069 | 0.89552108740387444682 |     5.3049299352536171 |     2.1088971028727995
 Mitchell County     |   1999 |     1.0267332147997054 | 0.68661906701485022782 |     2.4214067425925326 |     2.3884605777210141
 Putnam County       |   1999 | 0.64829554997570148471 | 0.35681783361752858393 |     2.7604552639837207 |     2.3888480105496396
 Clinton County      |   1999 | 0.57916775679042070230 | 0.43565838111424022962 |     5.7000494506030497 |     3.7095886793081767
 Gray County         |   1999 | 0.38960609361927766422 | 0.17705351676446329086 |     5.4860487703135024 |     4.7414794919817470
 Union County        |   1999 | 0.27550635391477022306 | 0.26990966913125520301 |     9.0899474404711304 |     5.5733998063198075
 Haskell County      |   1999 | 0.94731605190918983084 | 0.14567315734119951409 |     8.1429165801572303 |     6.8443742567777875
(19 rows)

