 w_warehouse_sk | i_item_sk | d_moy |         mean         |        cov         | w_warehouse_sk | i_item_sk | d_moy |         mean         |          cov           
----------------+-----------+-------+----------------------+--------------------+----------------+-----------+-------+----------------------+------------------------
              1 |       116 |     1 | 225.0000000000000000 | 1.4066976767982044 |              1 |       116 |     2 | 350.5000000000000000 |     1.1136089992170899
              1 |       206 |     1 | 360.7500000000000000 | 1.0747684870042689 |              1 |       206 |     2 | 297.2500000000000000 |     1.0462857540788394
              1 |      1220 |     1 | 277.5000000000000000 | 1.2409405493255820 |              1 |      1220 |     2 | 304.5000000000000000 |     1.0760019370250739
              1 |      1316 |     1 | 332.5000000000000000 | 1.0300960428161624 |              1 |      1316 |     2 | 274.5000000000000000 |     1.6282550120851767
              1 |      4370 |     1 | 318.5000000000000000 | 1.1586663380554192 |              1 |      4370 |     2 | 320.7500000000000000 |     1.0175447093410320
              1 |      4394 |     1 | 289.0000000000000000 | 1.0367735175612042 |              1 |      4394 |     2 | 390.6666666666666667 |     1.1045936150817543
              1 |      6254 |     1 |  64.5000000000000000 | 1.1072524790673070 |              1 |      6254 |     2 | 275.2500000000000000 |     1.0163846222239782
              1 |      9698 |     1 | 267.7500000000000000 | 1.4600623203525079 |              1 |      9698 |     2 | 193.5000000000000000 |     1.2298764428210491
              1 |     11420 |     1 | 243.2500000000000000 | 1.0615523563433751 |              1 |     11420 |     2 | 348.3333333333333333 |     1.1895194900856230
              1 |     12116 |     1 | 443.0000000000000000 | 1.0629026390120519 |              1 |     12116 |     2 | 400.5000000000000000 |     1.0814848890477503
              1 |     13130 |     1 | 422.0000000000000000 | 1.0258829997188294 |              1 |     13130 |     2 | 318.2500000000000000 |     1.1085642767173009
              1 |     13178 |     1 | 180.5000000000000000 | 1.4389757423045596 |              1 |     13178 |     2 | 305.5000000000000000 |     1.2291794238129198
              1 |     14906 |     1 | 376.7500000000000000 | 1.0265588853852050 |              1 |     14906 |     2 | 169.7500000000000000 |     1.0305785227689956
              1 |     16022 |     1 | 448.0000000000000000 | 1.0265333540810134 |              1 |     16022 |     2 | 319.2500000000000000 |     1.4028609347418763
              1 |     16088 |     1 | 351.0000000000000000 | 1.4344411056371453 |              1 |     16088 |     2 | 200.5000000000000000 |     1.5637931886681596
              1 |     16538 |     1 | 366.5000000000000000 | 1.0686520951342565 |              1 |     16538 |     2 | 312.7500000000000000 |     1.0866831104839968
              2 |      2438 |     1 | 418.6666666666666667 | 1.0735935793198161 |              2 |      2438 |     2 | 408.0000000000000000 |     1.1455407948539461
              2 |      3638 |     1 | 152.6666666666666667 | 1.6131943546920131 |              2 |      3638 |     2 | 366.3333333333333333 |     1.0911246097178872
              2 |      5438 |     1 | 327.5000000000000000 | 1.1850619935673374 |              2 |      5438 |     2 | 220.5000000000000000 |     1.1304592134898141
