Q1	nli_rewrite=0	posthoc=0	pullup=0
Q2	nli_rewrite=0	posthoc=1	pullup=0
Q3	nli_rewrite=0	posthoc=0	pullup=0
Q4	nli_rewrite=0	posthoc=0	pullup=1
Q5	nli_rewrite=0	posthoc=0	pullup=0
Q6	nli_rewrite=0	posthoc=0	pullup=0
Q7	nli_rewrite=0	posthoc=0	pullup=0
Q8	nli_rewrite=0	posthoc=0	pullup=0
Q9	nli_rewrite=0	posthoc=0	pullup=0
Q10	nli_rewrite=0	posthoc=0	pullup=0
Q11	nli_rewrite=0	posthoc=0	pullup=0
Q12	nli_rewrite=0	posthoc=0	pullup=0
Q13	nli_rewrite=0	posthoc=0	pullup=0
Q14	nli_rewrite=0	posthoc=0	pullup=0
Q15	nli_rewrite=0	posthoc=0	pullup=0
Q16	nli_rewrite=0	posthoc=1	pullup=0
Q17	nli_rewrite=0	posthoc=1	pullup=0
Q18	nli_rewrite=0	posthoc=1	pullup=0
Q19	nli_rewrite=0	posthoc=0	pullup=0
Q20	nli_rewrite=1	posthoc=0	pullup=2
Q21	nli_rewrite=0	posthoc=0	pullup=1
Q22	nli_rewrite=0	posthoc=0	pullup=1
