 i_manufact_id | sum_sales | avg_quarterly_sales 
---------------+-----------+---------------------
           850 |      2.15 | 30.2250000000000000
           850 |      2.32 | 30.2250000000000000
           850 |     41.67 | 30.2250000000000000
           850 |     74.76 | 30.2250000000000000
           321 |      5.80 | 42.6700000000000000
           321 |     15.13 | 42.6700000000000000
           321 |    107.08 | 42.6700000000000000
           308 |     11.30 | 44.8800000000000000
           308 |     32.09 | 44.8800000000000000
           308 |     54.76 | 44.8800000000000000
           308 |     81.37 | 44.8800000000000000
           507 |      4.91 | 51.7225000000000000
           507 |     37.06 | 51.7225000000000000
           507 |    111.98 | 51.7225000000000000
            10 |      2.38 | 51.8200000000000000
            10 |     41.92 | 51.8200000000000000
            10 |    111.16 | 51.8200000000000000
           204 |      3.68 | 53.8600000000000000
           204 |     17.45 | 53.8600000000000000
           204 |    144.06 | 53.8600000000000000
           989 |     20.21 | 53.9033333333333333
           989 |     68.68 | 53.9033333333333333
           989 |     72.82 | 53.9033333333333333
           796 |     22.27 | 54.7675000000000000
           796 |     25.31 | 54.7675000000000000
           796 |     38.41 | 54.7675000000000000
           796 |    133.08 | 54.7675000000000000
             7 |      4.80 | 58.8825000000000000
             7 |     14.50 | 58.8825000000000000
             7 |    104.77 | 58.8825000000000000
             7 |    111.46 | 58.8825000000000000
            50 |      1.42 | 60.4675000000000000
            50 |      6.44 | 60.4675000000000000
            50 |     71.28 | 60.4675000000000000
            50 |    162.73 | 60.4675000000000000
           632 |     11.55 | 62.7250000000000000
           632 |     12.14 | 62.7250000000000000
           632 |     34.07 | 62.7250000000000000
           632 |    193.14 | 62.7250000000000000
             8 |     32.39 | 64.4300000000000000
             8 |     48.47 | 64.4300000000000000
             8 |     79.23 | 64.4300000000000000
             8 |     97.63 | 64.4300000000000000
           282 |     31.07 | 65.0775000000000000
           282 |     32.34 | 65.0775000000000000
           282 |     78.05 | 65.0775000000000000
           282 |    118.85 | 65.0775000000000000
            56 |     16.25 | 65.4650000000000000
            56 |     16.52 | 65.4650000000000000
            56 |    164.28 | 65.4650000000000000
           542 |     50.45 | 65.7000000000000000
           542 |     53.69 | 65.7000000000000000
           542 |     75.53 | 65.7000000000000000
           542 |     83.13 | 65.7000000000000000
           403 |     13.59 | 65.9825000000000000
           403 |     39.57 | 65.9825000000000000
           403 |     84.72 | 65.9825000000000000
           403 |    126.05 | 65.9825000000000000
           295 |     45.47 | 65.9975000000000000
           295 |     54.88 | 65.9975000000000000
           295 |     81.43 | 65.9975000000000000
           295 |     82.21 | 65.9975000000000000
             5 |      1.38 | 67.1275000000000000
             5 |     21.92 | 67.1275000000000000
             5 |    121.01 | 67.1275000000000000
             5 |    124.20 | 67.1275000000000000
           661 |     17.45 | 67.6850000000000000
           661 |     52.04 | 67.6850000000000000
           661 |     95.12 | 67.6850000000000000
           661 |    106.13 | 67.6850000000000000
           342 |     19.70 | 69.1625000000000000
           342 |     44.92 | 69.1625000000000000
           342 |     53.43 | 69.1625000000000000
           342 |    158.60 | 69.1625000000000000
           876 |     16.49 | 69.6000000000000000
           876 |     61.99 | 69.6000000000000000
           876 |    134.81 | 69.6000000000000000
           285 |      0.58 | 75.4850000000000000
           285 |     50.00 | 75.4850000000000000
           285 |    174.99 | 75.4850000000000000
            87 |     16.49 | 76.8925000000000000
            87 |     40.80 | 76.8925000000000000
            87 |     53.17 | 76.8925000000000000
            87 |    197.11 | 76.8925000000000000
           478 |      6.79 | 78.3966666666666667
           478 |     57.78 | 78.3966666666666667
           478 |    170.62 | 78.3966666666666667
            29 |     40.88 | 79.4275000000000000
            29 |     48.85 | 79.4275000000000000
            29 |     62.60 | 79.4275000000000000
            29 |    165.38 | 79.4275000000000000
           441 |     10.74 | 82.3625000000000000
           441 |     44.07 | 82.3625000000000000
           441 |    122.59 | 82.3625000000000000
           441 |    152.05 | 82.3625000000000000
           258 |     29.30 | 82.6650000000000000
           258 |     56.09 | 82.6650000000000000
           258 |    156.51 | 82.6650000000000000
           878 |     25.69 | 85.2675000000000000
           878 |     71.68 | 85.2675000000000000
(100 rows)

