 i_manager_id | sum_sales |  avg_monthly_sales   
--------------+-----------+----------------------
            1 |    144.14 | 295.5880000000000000
            1 |    205.01 | 295.5880000000000000
            1 |    226.50 | 295.5880000000000000
            1 |    241.70 | 295.5880000000000000
            1 |    342.69 | 295.5880000000000000
            1 |    408.07 | 295.5880000000000000
            1 |    465.09 | 295.5880000000000000
            2 |     15.46 | 295.4600000000000000
            2 |     27.45 | 295.4600000000000000
            2 |    190.86 | 295.4600000000000000
            2 |    193.51 | 295.4600000000000000
            2 |    208.71 | 295.4600000000000000
            2 |    349.20 | 295.4600000000000000
            2 |    473.92 | 295.4600000000000000
            2 |    543.48 | 295.4600000000000000
            2 |    675.27 | 295.4600000000000000
            3 |    139.74 | 313.2330000000000000
            3 |    159.06 | 313.2330000000000000
            3 |    184.73 | 313.2330000000000000
            3 |    224.39 | 313.2330000000000000
            3 |    235.62 | 313.2330000000000000
            3 |    247.60 | 313.2330000000000000
            3 |    348.85 | 313.2330000000000000
            3 |    410.24 | 313.2330000000000000
            3 |    515.24 | 313.2330000000000000
            3 |    666.86 | 313.2330000000000000
            4 |    147.54 | 290.7810000000000000
            4 |    220.27 | 290.7810000000000000
            4 |    232.15 | 290.7810000000000000
            4 |    242.68 | 290.7810000000000000
            4 |    320.70 | 290.7810000000000000
            4 |    402.78 | 290.7810000000000000
            4 |    451.15 | 290.7810000000000000
            5 |     41.32 | 213.1890000000000000
            5 |     44.89 | 213.1890000000000000
            5 |     49.71 | 213.1890000000000000
            5 |     78.90 | 213.1890000000000000
            5 |    139.77 | 213.1890000000000000
            5 |    173.69 | 213.1890000000000000
            5 |    340.99 | 213.1890000000000000
            5 |    511.38 | 213.1890000000000000
            5 |    530.85 | 213.1890000000000000
            6 |     20.30 | 323.5660000000000000
            6 |    122.32 | 323.5660000000000000
            6 |    193.31 | 323.5660000000000000
            6 |    221.31 | 323.5660000000000000
            6 |    221.45 | 323.5660000000000000
            6 |    378.34 | 323.5660000000000000
            6 |    544.08 | 323.5660000000000000
            6 |    890.78 | 323.5660000000000000
            7 |     80.90 | 279.7450000000000000
            7 |     98.80 | 279.7450000000000000
            7 |    102.80 | 279.7450000000000000
            7 |    137.60 | 279.7450000000000000
            7 |    237.89 | 279.7450000000000000
            7 |    450.67 | 279.7450000000000000
            7 |    829.99 | 279.7450000000000000
            8 |     11.92 | 110.8133333333333333
            8 |     60.10 | 110.8133333333333333
            8 |     80.05 | 110.8133333333333333
            8 |     82.46 | 110.8133333333333333
            8 |     84.18 | 110.8133333333333333
            8 |    144.86 | 110.8133333333333333
            8 |    171.39 | 110.8133333333333333
            8 |    243.87 | 110.8133333333333333
            9 |     95.41 | 341.6770000000000000
            9 |    136.78 | 341.6770000000000000
            9 |    138.50 | 341.6770000000000000
            9 |    169.11 | 341.6770000000000000
            9 |    202.64 | 341.6770000000000000
            9 |    293.66 | 341.6770000000000000
            9 |    404.60 | 341.6770000000000000
            9 |    554.21 | 341.6770000000000000
            9 |    696.55 | 341.6770000000000000
            9 |    725.31 | 341.6770000000000000
           10 |      1.92 | 150.4383333333333333
           10 |      3.96 | 150.4383333333333333
           10 |     17.42 | 150.4383333333333333
           10 |    105.86 | 150.4383333333333333
           10 |    116.25 | 150.4383333333333333
           10 |    120.71 | 150.4383333333333333
           10 |    175.41 | 150.4383333333333333
           10 |    285.22 | 150.4383333333333333
           10 |    287.36 | 150.4383333333333333
           10 |    394.05 | 150.4383333333333333
           11 |     92.95 | 151.2030000000000000
           11 |    108.63 | 151.2030000000000000
           11 |    116.03 | 151.2030000000000000
           11 |    123.34 | 151.2030000000000000
           11 |    134.36 | 151.2030000000000000
           11 |    178.06 | 151.2030000000000000
           11 |    223.95 | 151.2030000000000000
           11 |    230.58 | 151.2030000000000000
           12 |    116.91 | 303.3530000000000000
           12 |    122.51 | 303.3530000000000000
           12 |    160.21 | 303.3530000000000000
           12 |    223.80 | 303.3530000000000000
           12 |    225.65 | 303.3530000000000000
           12 |    245.72 | 303.3530000000000000
           12 |    467.99 | 303.3530000000000000
(100 rows)

