# go tool pprof -top -nodecount=40 -cum -base /home/ryo/work/goopg/goopg/analysis/perf-optimize/runs/20260518_115032/profiles/goopg_c50_simple-update.mutex_base.pb.gz /home/ryo/work/goopg/goopg/analysis/perf-optimize/runs/20260518_115032/profiles/goopg_c50_simple-update.mutex.pb.gz
File: goopg.bin
Build ID: 595402bf1044e083633b4bc806628a762cf4a1d4
Type: delay
Time: 2026-05-18 12:17:57 JST
Showing nodes accounting for 5409.62s, 99.82% of 5419.32s total
Dropped 543 nodes (cum <= 27.10s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%   5410.52s 99.84%  github.com/goopg/goopg/internal/server.(*Server).acceptLoop.func1
         0     0%     0%   5410.52s 99.84%  github.com/goopg/goopg/internal/server.(*Server).runPostStartupLoop
         0     0%     0%   5410.52s 99.84%  github.com/goopg/goopg/internal/server.(*Server).serveConn
         0     0%     0%   5410.25s 99.83%  github.com/goopg/goopg/internal/server.(*Server).dispatchSimpleQueryViaExecutor
         0     0%     0%   5410.25s 99.83%  github.com/goopg/goopg/internal/server.(*Server).handleQuery
         0     0%     0%   5410.25s 99.83%  github.com/goopg/goopg/internal/server.(*Server).handleQueryOrCopy
  5409.62s 99.82% 99.82%   5409.64s 99.82%  sync.(*Mutex).Unlock
         0     0% 99.82%   5071.77s 93.59%  github.com/goopg/goopg/internal/server.(*Server).executeOneSimpleStmt
         0     0% 99.82%      5012s 92.48%  github.com/goopg/goopg/internal/mvcc.(*Manager).Commit (inline)
         0     0% 99.82%      5012s 92.48%  github.com/goopg/goopg/internal/mvcc.(*Manager).finish
         0     0% 99.82%    308.53s  5.69%  github.com/goopg/goopg/internal/mvcc.(*Manager).SnapshotFor
         0     0% 99.82%     57.83s  1.07%  github.com/goopg/goopg/internal/executor.(*updateOp).Next
         0     0% 99.82%     29.84s  0.55%  github.com/goopg/goopg/internal/executor.(*updateOp).updateViaIndex
         0     0% 99.82%     29.64s  0.55%  github.com/goopg/goopg/internal/executor.tryApplyHOTUpdate
         0     0% 99.82%     29.57s  0.55%  github.com/goopg/goopg/internal/mvcc.(*Manager).Begin
         0     0% 99.82%     29.37s  0.54%  github.com/goopg/goopg/internal/mvcc.(*Manager).OldestXmin
         0     0% 99.82%     27.99s  0.52%  github.com/goopg/goopg/internal/executor.(*Context).MaterializeWriterXID
         0     0% 99.82%     27.99s  0.52%  github.com/goopg/goopg/internal/mvcc.(*Manager).AssignXID
